BRAVADO SPICE LLC,,,,,,,,,
General Ledger,,,,,,,,,
"January-December, 2025",,,,,,,,,

,Distribution account,Transaction date,Transaction type,Num,Name,Description,Split,Amount,Balance
,61260 Serrano & Basil Hot Sauce,11/11/2025,Invoice,Faire | #4X6QJMTXT9,MatchBox Candle Co.,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,28.50,"15,160.98"
,61260 Serrano & Basil Hot Sauce,11/12/2025,Invoice,SO-2130084960,Art's Specialties,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,28.49,"15,189.47"
,61260 Serrano & Basil Hot Sauce,11/12/2025,Invoice,Faire | #GFVRAY6BVR,Henderson & Kane General Store,Serrano Basil / 12 Pack / 5 OZ,12000 Accounts Receivable,53.88,"15,243.35"
,61260 Serrano & Basil Hot Sauce,11/17/2025,Invoice,Faire | #HQMN4A8VUE,J5 Coffee,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,28.50,"15,271.85"
,61260 Serrano & Basil Hot Sauce,11/17/2025,Invoice,Faire | #4ADN6JW7GP,Kalustyan's,Serrano Basil / 12 Pack / 5 OZ,12000 Accounts Receivable,53.88,"15,325.73"
,61260 Serrano & Basil Hot Sauce,11/17/2025,Invoice,Faire | #9H2C5FP7QC,Jim Thorpe Olive Oil Co,Serrano Basil / 12 Pack / 5 OZ,12000 Accounts Receivable,107.76,"15,433.49"
,61260 Serrano & Basil Hot Sauce,11/19/2025,Invoice,BRV01253,Buc-ee's Ltd:Buc-ees 22 New Braunfels TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"15,453.47"
,61260 Serrano & Basil Hot Sauce,11/19/2025,Invoice,BRV01281,Buc-ee's Ltd:Buc-ees 26 Madisonville TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"15,473.45"
,61260 Serrano & Basil Hot Sauce,11/19/2025,Invoice,BRV01252,Buc-ee's Ltd:Buc-ees 18 Waller TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,39.96,"15,513.41"
,61260 Serrano & Basil Hot Sauce,11/19/2025,Invoice,BRV01256,Buc-ee's Ltd:Buc-ees 34 Baytown TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"15,533.39"
,61260 Serrano & Basil Hot Sauce,11/19/2025,Invoice,BRV01260,Buc-ee's Ltd:Buc-ees 40 Katy TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"15,553.37"
,61260 Serrano & Basil Hot Sauce,11/19/2025,Invoice,BRV01257,Buc-ee's Ltd:Buc-ees 35 Temple TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"15,573.35"
,61260 Serrano & Basil Hot Sauce,11/19/2025,Invoice,BRV01258,Buc-ee's Ltd:Buc-ees 37 Fort Worth TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,59.94,"15,633.29"
,61260 Serrano & Basil Hot Sauce,11/19/2025,Invoice,BRV01264,Buc-ee's Ltd:Buc-ees 45 Sevierville TN,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,39.96,"15,673.25"
,61260 Serrano & Basil Hot Sauce,11/19/2025,Invoice,BRV01267,Buc-ee's Ltd:Buc-ees 51 Warner Robins GA,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,79.92,"15,753.17"
,61260 Serrano & Basil Hot Sauce,11/19/2025,Invoice,BRV01269,Buc-ee's Ltd:Buc-ees 53 Florence SC,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"15,773.15"
,61260 Serrano & Basil Hot Sauce,11/19/2025,Invoice,BRV01273,Buc-ee's Ltd:Buc-ees 59 Hillsboro TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,39.96,"15,813.11"
,61260 Serrano & Basil Hot Sauce,11/19/2025,Invoice,BRV01272,Buc-ee's Ltd:Buc-ees 58 Auburn AL,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"15,833.09"
,61260 Serrano & Basil Hot Sauce,11/19/2025,Invoice,BRV01280,Buc-ee's Ltd:Buc-ees 60 Johnstown,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,79.92,"15,913.01"
,61260 Serrano & Basil Hot Sauce,11/19/2025,Invoice,BRV01278,Buc-ee's Ltd:Buc-ees 69 Rockingham VA,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"15,932.99"
,61260 Serrano & Basil Hot Sauce,11/19/2025,Invoice,Faire | #DH3APYEW8S,Markus Market LLC,Serrano Basil / 12 Pack / 5 OZ,12000 Accounts Receivable,53.88,"15,986.87"
,61260 Serrano & Basil Hot Sauce,11/20/2025,Invoice,Faire | #CNNGXXWY5M,Swedish Pepper,Serrano Basil / 12 Pack / 5 OZ,12000 Accounts Receivable,80.88,"16,067.75"
,61260 Serrano & Basil Hot Sauce,11/21/2025,Invoice,Faire | #9QCXN2MZ67,Artsy Gourmet,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,57.00,"16,124.75"
,61260 Serrano & Basil Hot Sauce,11/24/2025,Invoice,Faire | #MZNZ6TB6VK,Carmine's,Serrano Basil / 12 Pack / 5 OZ,12000 Accounts Receivable,53.88,"16,178.63"
,61260 Serrano & Basil Hot Sauce,11/24/2025,Invoice,Faire | #XKACRGN5ZX,Texasfood.com,Serrano Basil / 12 Pack / 5 OZ,12000 Accounts Receivable,107.76,"16,286.39"
,61260 Serrano & Basil Hot Sauce,12/01/2025,Invoice,Faire | #3SW2TEV553,Ace of Gray Gift Shop,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,28.50,"16,314.89"
,61260 Serrano & Basil Hot Sauce,12/01/2025,Invoice,Faire | #Q2RMXNUPNP,Pepper Paradise (Melissa Gutierrez),Serrano Basil / 12 Pack / 5 OZ,12000 Accounts Receivable,53.88,"16,368.77"
,61260 Serrano & Basil Hot Sauce,12/02/2025,Invoice,Faire | #T78AKV8M4U,Grill Masters Club,Serrano Basil / 12 Pack / 5 OZ,12000 Accounts Receivable,53.88,"16,422.65"
,61260 Serrano & Basil Hot Sauce,12/02/2025,Invoice,Faire | #TMQA7DJQZ7,3 Sisters Garlic,Serrano Basil / 12 Pack / 5 OZ,12000 Accounts Receivable,53.88,"16,476.53"
,61260 Serrano & Basil Hot Sauce,12/02/2025,Invoice,BRV01285,Buc-ee's Ltd:Buc-ees 26 Madisonville TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"16,496.51"
,61260 Serrano & Basil Hot Sauce,12/02/2025,Invoice,BRV01284,Buc-ee's Ltd:Buc-ees 22 New Braunfels TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"16,516.49"
,61260 Serrano & Basil Hot Sauce,12/02/2025,Invoice,BRV01286,Buc-ee's Ltd:Buc-ees 28 Bastrop TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"16,536.47"
,61260 Serrano & Basil Hot Sauce,12/02/2025,Invoice,BRV01289,Buc-ee's Ltd:Buc-ees 34 Baytown TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"16,556.45"
,61260 Serrano & Basil Hot Sauce,12/02/2025,Invoice,BRV01290,Buc-ee's Ltd:Buc-ees 35 Temple TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"16,576.43"
,61260 Serrano & Basil Hot Sauce,12/02/2025,Invoice,BRV01291,Buc-ee's Ltd:Buc-ees 36 Terrell TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,59.94,"16,636.37"
,61260 Serrano & Basil Hot Sauce,12/02/2025,Invoice,BRV01292,Buc-ee's Ltd:Buc-ees 37 Fort Worth TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,59.94,"16,696.31"
,61260 Serrano & Basil Hot Sauce,12/02/2025,Invoice,BRV01293,Buc-ee's Ltd:Buc-ees 43 Leeds AL,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"16,716.29"
,61260 Serrano & Basil Hot Sauce,12/02/2025,Invoice,BRV01294,Buc-ee's Ltd:Buc-ees 44 Melissa TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,39.96,"16,756.25"
,61260 Serrano & Basil Hot Sauce,12/02/2025,Invoice,BRV01295,Buc-ee's Ltd:Buc-ees 45 Sevierville TN,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,59.94,"16,816.19"
,61260 Serrano & Basil Hot Sauce,12/02/2025,Invoice,BRV01302,Buc-ee's Ltd:Buc-ees 53 Florence SC,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,59.94,"16,876.13"
,61260 Serrano & Basil Hot Sauce,12/02/2025,Invoice,BRV01306,Buc-ee's Ltd:Buc-ees 59 Hillsboro TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,59.94,"16,936.07"
,61260 Serrano & Basil Hot Sauce,12/02/2025,Invoice,BRV01308,Buc-ee's Ltd:Buc-ees 63 Brunswick GA,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,39.96,"16,976.03"
,61260 Serrano & Basil Hot Sauce,12/02/2025,Invoice,BRV01305,Buc-ee's Ltd:Buc-ees 58 Auburn AL,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"16,996.01"
,61260 Serrano & Basil Hot Sauce,12/02/2025,Invoice,BRV01309,Buc-ee's Ltd:Buc-ees 69 Rockingham VA,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,59.94,"17,055.95"
,61260 Serrano & Basil Hot Sauce,12/04/2025,Invoice,Faire | #QS9F6PH5Z6,Una,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,28.50,"17,084.45"
,61260 Serrano & Basil Hot Sauce,12/05/2025,Invoice,Faire | #AAD5HHAN2E,Carne Diem Fine Meats & Pantry,Serrano Basil / 12 Pack / 5 OZ,12000 Accounts Receivable,53.88,"17,138.33"
,61260 Serrano & Basil Hot Sauce,12/08/2025,Invoice,Faire | #CYXYFFW9Y9,Common Crow Natural Market,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,28.50,"17,166.83"
,61260 Serrano & Basil Hot Sauce,12/10/2025,Invoice,Faire | #24BM57BS9F,The Butchery Quality Meats,Serrano Basil / 12 Pack / 5 OZ,12000 Accounts Receivable,161.64,"17,328.47"
,61260 Serrano & Basil Hot Sauce,12/10/2025,Invoice,Faire | #JETEU83494,Garlic World,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,28.50,"17,356.97"
,61260 Serrano & Basil Hot Sauce,12/16/2025,Invoice,BRV01310,Buc-ee's Ltd:Buc-ees 17 Luling TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,39.96,"17,396.93"
,61260 Serrano & Basil Hot Sauce,12/16/2025,Invoice,BRV01314,Buc-ee's Ltd:Buc-ees 28 Bastrop TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,39.96,"17,436.89"
,61260 Serrano & Basil Hot Sauce,12/16/2025,Invoice,BRV01316,Buc-ee's Ltd:Buc-ees 34 Baytown TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"17,456.87"
,61260 Serrano & Basil Hot Sauce,12/16/2025,Invoice,BRV01315,Buc-ee's Ltd:Buc-ees 30 Wharton TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"17,476.85"
,61260 Serrano & Basil Hot Sauce,12/16/2025,Invoice,BRV01320,Buc-ee's Ltd:Buc-ees 38 Royse City TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,79.92,"17,556.77"
,61260 Serrano & Basil Hot Sauce,12/16/2025,Invoice,BRV01312,Buc-ee's Ltd:Buc-ees 22 New Braunfels TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"17,576.75"
,61260 Serrano & Basil Hot Sauce,12/16/2025,Invoice,BRV01317,Buc-ee's Ltd:Buc-ees 35 Temple TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,79.92,"17,656.67"
,61260 Serrano & Basil Hot Sauce,12/16/2025,Invoice,BRV01313,Buc-ee's Ltd:Buc-ees 26 Madisonville TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"17,676.65"
,61260 Serrano & Basil Hot Sauce,12/16/2025,Invoice,BRV01322,Buc-ee's Ltd:Buc-ees 40 Katy TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,79.92,"17,756.57"
,61260 Serrano & Basil Hot Sauce,12/16/2025,Invoice,BRV01323,Buc-ee's Ltd:Buc-ees 42 Loxley AL,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"17,776.55"
,61260 Serrano & Basil Hot Sauce,12/16/2025,Invoice,BRV01325,Buc-ee's Ltd:Buc-ees 44 Melissa TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"17,796.53"
,61260 Serrano & Basil Hot Sauce,12/16/2025,Invoice,BRV01324,Buc-ee's Ltd:Buc-ees 43 Leeds AL,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,39.96,"17,836.49"
,61260 Serrano & Basil Hot Sauce,12/16/2025,Invoice,BRV01327,Buc-ee's Ltd:Buc-ees 46 St Johns FL,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"17,856.47"
,61260 Serrano & Basil Hot Sauce,12/16/2025,Invoice,BRV01343,Buc-ee's Ltd:Buc-ees 47 Daytona FL,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,39.96,"17,896.43"
,61260 Serrano & Basil Hot Sauce,12/16/2025,Invoice,BRV01329,Buc-ee's Ltd:Buc-ees 50 Crossville TN,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"17,916.41"
,61260 Serrano & Basil Hot Sauce,12/16/2025,Invoice,BRV01333,Buc-ee's Ltd:Buc-ees 55 Richmond KY,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,59.94,"17,976.35"
,61260 Serrano & Basil Hot Sauce,12/16/2025,Invoice,BRV01334,Buc-ee's Ltd:Buc-ees 56 Smiths Grove KY,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"17,996.33"
,61260 Serrano & Basil Hot Sauce,12/16/2025,Invoice,BRV01335,Buc-ee's Ltd:Buc-ees 57 Athens AL,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,39.96,"18,036.29"
,61260 Serrano & Basil Hot Sauce,12/16/2025,Invoice,BRV01340,Buc-ee's Ltd:Buc-ees 63 Brunswick GA,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"18,056.27"
,61260 Serrano & Basil Hot Sauce,12/16/2025,Invoice,BRV01342,Buc-ee's Ltd:Buc-ees 69 Rockingham VA,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"18,076.25"
,61260 Serrano & Basil Hot Sauce,12/16/2025,Invoice,Faire | #SSKSPFG2BG,Pirate O's Gourmet Market,Serrano Basil / 12 Pack / 5 OZ,12000 Accounts Receivable,107.76,"18,184.01"
,61260 Serrano & Basil Hot Sauce,12/22/2025,Invoice,Faire #SG4EXYHEHH,Manready Mercantile,Serrano Basil / 12 Pack / 5 OZ,12000 Accounts Receivable,53.88,"18,237.89"
,61260 Serrano & Basil Hot Sauce,12/29/2025,Invoice,BRV01346,Buc-ee's Ltd:Buc-ees 22 New Braunfels TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"18,257.87"
,61260 Serrano & Basil Hot Sauce,12/29/2025,Invoice,BRV01347,Buc-ee's Ltd:Buc-ees 28 Bastrop TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,99.90,"18,357.77"
,61260 Serrano & Basil Hot Sauce,12/29/2025,Invoice,BRV01345,Buc-ee's Ltd:Buc-ees 18 Waller TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"18,377.75"
,61260 Serrano & Basil Hot Sauce,12/29/2025,Invoice,BRV01348,Buc-ee's Ltd:Buc-ees 33 Texas City TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,39.96,"18,417.71"
,61260 Serrano & Basil Hot Sauce,12/29/2025,Invoice,BRV01351,Buc-ee's Ltd:Buc-ees 37 Fort Worth TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"18,437.69"
,61260 Serrano & Basil Hot Sauce,12/29/2025,Invoice,BRV01353,Buc-ee's Ltd:Buc-ees 39 Denton TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"18,457.67"
,61260 Serrano & Basil Hot Sauce,12/29/2025,Invoice,BRV01355,Buc-ee's Ltd:Buc-ees 42 Loxley AL,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,39.96,"18,497.63"
,61260 Serrano & Basil Hot Sauce,12/29/2025,Invoice,BRV01360,Buc-ee's Ltd:Buc-ees 47 Daytona FL,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"18,517.61"
,61260 Serrano & Basil Hot Sauce,12/29/2025,Invoice,BRV01359,Buc-ee's Ltd:Buc-ees 46 St Johns FL,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"18,537.59"
,61260 Serrano & Basil Hot Sauce,12/29/2025,Invoice,BRV01361,Buc-ee's Ltd:Buc-ees 50 Crossville TN,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,59.94,"18,597.53"
,61260 Serrano & Basil Hot Sauce,12/29/2025,Invoice,BRV01365,Buc-ee's Ltd:Buc-ees 55 Richmond KY,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"18,617.51"
,61260 Serrano & Basil Hot Sauce,12/29/2025,Invoice,BRV01367,Buc-ee's Ltd:Buc-ees 57 Athens AL,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,39.96,"18,657.47"
,61260 Serrano & Basil Hot Sauce,12/29/2025,Invoice,BRV01372,Buc-ee's Ltd:Buc-ees 62 Springfield MO,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"18,677.45"
,61260 Serrano & Basil Hot Sauce,12/29/2025,Invoice,BRV01373,Buc-ee's Ltd:Buc-ees 63 Brunswick GA,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"18,697.43"
,61260 Serrano & Basil Hot Sauce,12/29/2025,Invoice,BRV01374,Buc-ee's Ltd:Buc-ees 66 Amarillo TX,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,59.94,"18,757.37"
,61260 Serrano & Basil Hot Sauce,12/29/2025,Invoice,BRV01375,Buc-ee's Ltd:Buc-ees 69 Rockingham VA,Serrano & Basil / 6 Pack / 5 OZ,12000 Accounts Receivable,19.98,"18,777.35"
Total for 61260 Serrano & Basil Hot Sauce,,,,,,,,"$18,777.35",
61270 Black Garlic & Carolina Reaper Hot Sauce,,,,,,,,,
,61270 Black Garlic & Carolina Reaper Hot Sauce,01/24/2025,Invoice,35493,Pemberton Farms Market Place,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,39.72,39.72
,61270 Black Garlic & Carolina Reaper Hot Sauce,01/31/2025,Invoice,7587853,Spec's Liquor Stores,Black Garlic Carolina-Reaper / 12 Pack / 5 OZ,12000 Accounts Receivable,409.20,448.92
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/03/2025,Invoice,BRV00773,Buc-ee's Ltd:Buc-ees 53 Florence SC,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,33.88,482.80
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/03/2025,Invoice,BRV00794,Buc-ee's Ltd:Buc-ees 45 Sevierville TN,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,67.76,550.56
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/03/2025,Invoice,BRV00792,Buc-ee's Ltd:Buc-ees 42 Loxley AL,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,33.88,584.44
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/03/2025,Invoice,BRV00786,Buc-ee's Ltd:Buc-ees 34 Baytown TX,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,169.40,753.84
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/03/2025,Invoice,BRV00799,Buc-ee's Ltd:Buc-ees 51 Warner Robins GA,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,67.76,821.60
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/03/2025,Invoice,BRV00780,Buc-ee's Ltd:Buc-ees 62 Springfield MO,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,67.76,889.36
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/03/2025,Invoice,BRV00774,Buc-ee's Ltd:Buc-ees 55 Richmond KY,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,135.52,"1,024.88"
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/03/2025,Invoice,BRV00771,Buc-ee's Ltd:Buc-ees 18 Waller TX,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,33.88,"1,058.76"
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/03/2025,Invoice,BRV00779,Buc-ee's Ltd:Buc-ees 60 Johnstown,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,101.64,"1,160.40"
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/03/2025,Invoice,BRV00782,Buc-ee's Ltd:Buc-ees 22 New Braunfels TX,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,33.88,"1,194.28"
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/03/2025,Invoice,BRV00795,Buc-ee's Ltd:Buc-ees 46 St Johns FL,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,33.88,"1,228.16"
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/03/2025,Invoice,BRV00785,Buc-ee's Ltd:Buc-ees 33 Texas City TX,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,135.52,"1,363.68"
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/03/2025,Invoice,BRV00777,Buc-ee's Ltd:Buc-ees 58 Auburn AL,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,67.76,"1,431.44"
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/03/2025,Invoice,BRV00789,Buc-ee's Ltd:Buc-ees 37 Fort Worth TX,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,169.40,"1,600.84"
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/03/2025,Invoice,BRV00781,Buc-ee's Ltd:Buc-ees 66 Amarillo TX,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,203.28,"1,804.12"
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/03/2025,Invoice,BRV00790,Buc-ee's Ltd:Buc-ees 38 Royse City TX,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,67.76,"1,871.88"
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/03/2025,Invoice,BRV00772,Buc-ee's Ltd:Buc-ees 52 Calhoun GA,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,33.88,"1,905.76"
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/03/2025,Invoice,BRV00776,Buc-ee's Ltd:Buc-ees 57 Athens AL,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,135.52,"2,041.28"
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/03/2025,Invoice,BRV00788,Buc-ee's Ltd:Buc-ees 36 Terrell TX,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,67.76,"2,109.04"
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/03/2025,Invoice,BRV00787,Buc-ee's Ltd:Buc-ees 35 Temple TX,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,33.88,"2,142.92"
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/03/2025,Invoice,BRV00801,Buc-ee's Ltd:Buc-ees 39 Denton TX,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,33.88,"2,176.80"
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/03/2025,Invoice,BRV00784,Buc-ee's Ltd:Buc-ees 28 Bastrop TX,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,135.52,"2,312.32"
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/03/2025,Invoice,85056,Bering's 2 | Bissonnet,Black Garlic Carolina-Reaper / 12 Pack / 5 OZ,12000 Accounts Receivable,79.44,"2,391.76"
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/03/2025,Invoice,148459911,Whole Foods Market | Corporate:Whole Foods Market | Cerrillos,Black Garlic Carolina-Reaper / 12 Pack / 5 OZ,12000 Accounts Receivable,238.32,"2,630.08"
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/11/2025,Invoice,BRV00803,KeHE Distributors LLC,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,"1,355.20","3,985.28"
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/11/2025,Invoice,BRV00804,KeHE Distributors LLC,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,"2,507.12","6,492.40"
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/13/2025,Invoice,113491,Hot Shots Distribution,Black Garlic Carolina-Reaper / 12 Pack / 5 OZ,12000 Accounts Receivable,"3,304.80","9,797.20"
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/20/2025,Invoice,BRV00819,Buc-ee's Ltd:Buc-ees 18 Waller TX,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,67.76,"9,864.96"
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/20/2025,Invoice,BRV00821,Buc-ee's Ltd:Buc-ees 28 Bastrop TX,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,203.28,"10,068.24"
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/20/2025,Invoice,BRV00820,Buc-ee's Ltd:Buc-ees 22 New Braunfels TX,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,67.76,"10,136.00"
,61270 Black Garlic & Carolina Reaper Hot Sauce,02/20/2025,Invoice,BRV00824,Buc-ee's Ltd:Buc-ees 34 Baytown TX,Black Garlic Carolina-Reaper / 6 Pack / 5 OZ,12000 Accounts Receivable,67.76,"10,203.76"
